kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Bone,Tanete riattang,2016,2581,16410,"63,58000775"
Bone,Tanete riattang,2018,2600,16531,"63,58076923"
Bone,Tanete riattang,2017,3088,19634,"63,58160622"
Ngawi,Bringin,2021,3667,23324,"63,60512681"
Ngawi,Pangkur,2023,6860,43634,"63,60641399"
Ngawi,Kedunggalar,2024,13746,87456,"63,62287211"
Ngawi,Karanganyar,2020,1544,9827,"63,64637306"
Bone,Ulaweng,2025,1819,11578,"63,65035734"
Bone,Cina ,2025,5751,36611,"63,660233"
Bone,Lappariaja,2025,13258,84414,"63,67023684"
Ngawi,Paron,2018,16649,106145,"63,75457985"
Ngawi,Mantingan,2021,7019,44763,"63,77404189"
Bone,Cina ,2022,4157,26513,"63,77916767"
Indramayu,-,2019,215731,1376429,"63,80302321"
Ngawi,Kedunggalar,2017,14018,89453,"63,81295477"
Ngawi,Paron,2019,16647,106230,"63,81329969"
Ngawi,Kedunggalar,2025,15054,96071,"63,81759001"
Ngawi,Gerih,2022,5132,32769,"63,8522993"
Ngawi,Kedunggalar,2019,13999,89422,"63,87741982"
Bone,Tanete barat,2025,2928,18707,"63,89002732"
Ngawi,Kedunggalar,2018,14095,90058,"63,89357928"
Ngawi,Pitu,2025,2701,17263,"63,91336542"
Ngawi,Widodaren,2025,11599,74138,"63,9175791"
Ngawi,Sine,2020,4841,30962,"63,95785995"
Bone,Ponre,2022,4125,26392,"63,98060606"
Ngawi,Karangjati,2025,7629,48816,"63,98741644"
Ngawi,Widodaren,2021,13243,84779,"64,01797176"
Ngawi,Kendal,2020,6217,39805,"64,02605758"
Ngawi,Ngawi,2021,8969,57454,"64,05842346"
Ngawi,Kedunggalar,2023,14386,92206,"64,09425831"
Ngawi,Mantingan,2022,7102,45532,"64,11151788"
Bone,Tanete riattang,2025,3285,21063,"64,11872146"
Ngawi,Pangkur,2021,6874,44080,"64,12569101"
Ngawi,Ngrambe,2020,5687,36476,"64,13926499"
Ngawi,Ngawi,2018,9469,60794,"64,20318935"
Ngawi,Kwadungan,2021,6016,38629,"64,21043883"
Indramayu,Jatibarang,2017,6009,38600,"64,23697787"
